Policy Area,Need Group,Agency,Type,Need,Request
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Capital,Facilities for seniors,Renovate or upgrade a senior center
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Capital,Services for homebound older adults,Other capital budget request for DFTA
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Elder abuse programs,Continue Crime Prevention/Victim Assistance Program for Seniors
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Elder abuse programs,Enhance programs for elder abuse victims
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Naturally Occurring Retirement Community (NORC) programs,Enhance NORC programs and health services
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Senior center programs,Enhance educational and recreational programs
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Senior center programs,Funding for a new senior center program
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Senior center programs,Other senior center program requests
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Senior center programs,Provide additional senior center staffing
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Services for homebound older adults,Allocate funds for outreach services to homebound older adults and for programs that allow the elderly to age in place
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Services for homebound older adults,Enhance home care services
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Services for homebound older adults,Increase case management capacity
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Services for homebound older adults,Increase home delivered meals capacity
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Services for homebound older adults,Increase programmatic funding to Friendly Visiting Programs
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Services for homebound older adults,Increase staffing for homebound adult programs
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Services for homebound older adults,Increase transportation services capacity
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Services for homebound older adults,Other expense budget request for DFTA
Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Animal and pest control services,Animal and pest control requests including reducing rat and mosquito populations
Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Developmental delays programs ,Create or promote programs to destigmatize developmental delays and encourage treatment
Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Health and safety inspections ,"Increase health and safety inspections, e.g. for restaurants and childcare programs"
Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Healthy homes programs ,Create or promote programs to decrease children’s emergency department visits for asthma and prevent injuries
Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Healthy lifestyles programs,"Create or promote programs for education and awareness on preventing chronic diseases including quitting smoking, nutrition, physical activity, etc."
Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Mental health programs ,Create or promote programs to de-stigmatize mental health needs and encourage treatment
Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Capital,Other needs,Other capital budget request for DOHMH
Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address HIV/AIDS or other infectious diseases,"Provide more information and services related to STIs, HIV/AIDS, and family planning"
Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address HIV/AIDS or other infectious diseases,Provide more tuberculosis information and services
Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address HIV/AIDS or other infectious diseases,Promote vaccinations and immunizations
Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other infectious diseases,Provide more information and services for non-vaccine preventable illnesses
Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests
Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Substance misuse prevention programs,Create or promote programs to de-stigmatize substance misuse and encourage treatment
Health Care and Human Services,Needs for Health Care and Facilities,Health and Hospitals Corporation (HHC),Capital,Health care facilities,Provide a new or expanded health care facility
Health Care and Human Services,Needs for Health Care and Facilities,Health and Hospitals Corporation (HHC),Capital,Health care facilities,Renovate or upgrade an existing health care facility
Health Care and Human Services,Needs for Health Care and Facilities,Health and Hospitals Corporation (HHC),Capital,Health care facilities,Replace or upgrade information technology equipment
Health Care and Human Services,Needs for Health Care and Facilities,Health and Hospitals Corporation (HHC),Capital,Health care facilities,Replace or upgrade medical/clinical equipment
Health Care and Human Services,Needs for Health Care and Facilities,Health and Hospitals Corporation (HHC),Capital,Health care facilities,Other Capital health care facilities request
Health Care and Human Services,Needs for Health Care and Facilities,Health and Hospitals Corporation (HHC),Expense,Health care facilities,Other expense budget request for HHC
Health Care and Human Services,Needs for Homeless,Department for Homeless Services (DHS),Capital,Facilities for the homeless,Provide new homeless shelters or SROs
Health Care and Human Services,Needs for Homeless,Department for Homeless Services (DHS),Capital,Facilities for the homeless,Upgrade existing facilities for the homeless
Health Care and Human Services,Needs for Homeless,Department for Homeless Services (DHS),Capital,Facilities for the homeless,Other facilities for homeless requests
Health Care and Human Services,Needs for Homeless,Department for Homeless Services (DHS),Capital,Services for the homeless,Other capital budget request for DHS
Health Care and Human Services,Needs for Homeless,Department for Homeless Services (DHS),Expense,Services for the homeless,Expand street outreach
Health Care and Human Services,Needs for Homeless,Department for Homeless Services (DHS),Expense,Services for the homeless,Improve safety at homeless shelters
Health Care and Human Services,Needs for Homeless,Department for Homeless Services (DHS),Expense,Services for the homeless,Other request for services for the homeless
Health Care and Human Services,Needs for Homeless,Department for Homeless Services (DHS),Expense,Services for the homeless,Provide programs for homeless veterans
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Assistance for persons living with clinically symptomatic HIV or AIDS,"Provide case management, cash assistance, or social services"
