Policy Area,Need Group,Agency,Type,Need,Request
Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Capital,Facilities for seniors,Renovate or upgrade a senior center
"Youth, Education, and Child Welfare",Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Services for homebound older adults,Other capital budget request for DFTA
Public Safety and Emergency Services,Needs for Homeless,Health and Hospitals Corporation (HHC),,Elder abuse programs,Continue Crime Prevention/Victim Assistance Program for Seniors
"Core Infrastructure, City Services, and Resiliency",Needs for Low Income NYs,Department for Homeless Services (DHS),,Naturally Occurring Retirement Community (NORC) programs,Enhance programs for elder abuse victims
"Housing, Economic Development, and Land Use",Needs for Youth Education,Human Resources Administration (HRA),,Senior center programs,Enhance NORC programs and health services
Transportation and Mobility,Needs for Youth and Child Welfare,Department of Education (DOE),,Other needs,Enhance educational and recreational programs
"Parks, Cultural, and Other Community Facilities",Needs for Public Safety,School Construction Authority,,Animal and pest control services,Funding for a new senior center program
Other Needs,Needs for Emergency Services,Administration for Children's Services (ACS),,Developmental delays programs ,Other senior center program requests
,"Needs for Water, Sewers, and Environmental Protection",Department of Youth and Community Development (DYCD),,Health and safety inspections ,Provide additional senior center staffing
,Needs for Sanitation Services,New York Police Department (NYPD),,Healthy homes programs ,Allocate funds for outreach services to homebound older adults and for programs that allow the elderly to age in place
,Needs for Land Use,Fire Department of New York (FDNY),,Healthy lifestyles programs,Enhance home care services
,Needs for Housing,Department of Environmental Protection (DEP),,Mental health programs ,Increase case management capacity
,Needs for Economic Development,Department of Sanitation (DSNY),,Programs to address other infectious diseases,Increase home delivered meals capacity
,Needs for Traffic and Transportation Infrastructure,Department of City Planning (DCP),,Programs to address other public health issues,Increase programmatic funding to Friendly Visiting Programs
,Needs for Transit Services,Department of Buildings (DOB),,Programs to address HIV/AIDS or other infectious diseases,Increase staffing for homebound adult programs
,Needs for Parks,Housing Preservation and Development (HPD),,Substance misuse prevention programs,Increase transportation services capacity
,Needs for Cultural Services,New York City Housing Authority (NYCHA),,Health care facilities,Other expense budget request for DFTA
,Needs for Library Services,Economic Development Corporation (EDC),,Facilities for the homeless,Other capital budget request for DOHMH
,Needs for Community Boards,Department of Small Business Services (SBS),,Services for the homeless,Animal and pest control requests including reducing rat and mosquito populations
,Other,Department of Transportation (DOT),,Assistance for persons living with clinically symptomatic HIV or AIDS,Create or promote programs to destigmatize developmental delays and encourage treatment
,,New York City Transit Authority (NYCTA),,Domestic violence services,"Increase health and safety inspections, e.g. for restaurants and childcare programs"
,,Taxi and Limousine Commission (TLC),,Homelessness prevention programs,Create or promote programs to decrease children’s emergency department visits for asthma and prevent injuries
,,Department of Parks and Recreation (DPR),,Services for vulnerable New Yorkers,"Create or promote programs for education and awareness on preventing chronic diseases including quitting smoking, nutrition, physical activity, etc."
,,Department of Cultural Affairs (DCLA),,Services to support low-income New Yorkers,Create or promote programs to de-stigmatize mental health needs and encourage treatment
,,Landmarks Preservation Commission (LPC),,Early care and educational programs,Provide more information and services for non-vaccine preventable illnesses
,,Brooklyn Public Library (BPL),,Educational programs,Other programs to address public health issues requests
,,New York Public Library (NYPL),,Schools and educational facilities,"Provide more information and services related to STIs, HIV/AIDS, and family planning"
,,Queens Library (QL),,Agency-wide,Provide more tuberculosis information and services
,,Department of Citywide Administrative Services (DCAS),,Child and family well-being,Promote vaccinations and immunizations
